INFO  | Serving assets from frontend DevServer URL: http://localhost:5173/
DEBUG | [DevWebServer] Serving DevServer at http://localhost:34115
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/@vite/client'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/main.jsx'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/@react-refresh'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/vite/dist/client/env.mjs'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/.vite/deps/react.js?v=be340e13'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/style.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=be340e13'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.jsx'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/@id/__x00__react/jsx-dev-runtime'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/.vite/deps/chunk-C3URVCCN.js?v=be340e13'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/component/Layout.jsx'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=be340e13'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/.vite/deps/chunk-XY35XOXX.js?v=be340e13'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/.vite/deps/@ant-design_icons.js?v=be340e13'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/.vite/deps/antd.js?v=be340e13'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/component/Tablelayout.jsx'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/.vite/deps/chunk-AWL6Q5RP.js?v=be340e13'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/.vite/deps/chunk-PNWDGMYT.js?v=be340e13'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/.vite/deps/chunk-R4I7W5CD.js?v=be340e13'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/assets/fonts/nunito-v16-latin-regular.woff2'
